click_count,student__name,lecture__lecture_name,timestamp,activity
1,2E2827,(Mon5) Lecture 3,2024-06-03 06:30:23+00:00,Observed
1,2E2793,(Mon5) Lecture 3,2024-06-03 06:32:48+00:00,Observed
1,2E2746,(Mon5) Lecture 3,2024-06-03 06:40:30+00:00,Observed
1,2E281F,(Mon5) Lecture 3,2024-06-03 06:40:38+00:00,Observed
1,2E2793,(Mon5) Lecture 3,2024-06-03 06:47:49+00:00,Observed
1,2E2746,(Mon5) Lecture 3,2024-06-03 06:51:28+00:00,Observed
1,2E2788,(Mon5) Lecture 3,2024-06-03 06:54:13+00:00,Observed
1,2D65C5,(Mon5) Lecture 3,2024-06-03 06:54:18+00:00,Observed
1,2E1C2A,(Mon5) Lecture 3,2024-06-03 06:54:41+00:00,Observed
1,2E2827,(Mon5) Lecture 3,2024-06-03 07:08:13+00:00,Observed
1,2E1C2A,(Mon5) Lecture 3,2024-06-03 07:18:57+00:00,Observed
1,2E2766,(Mon5) Lecture 3,2024-06-03 07:19:31+00:00,Observed
1,2E2827,(Mon5) Lecture 3,2024-06-03 07:19:45+00:00,Observed
1,2E2788,(Mon5) Lecture 3,2024-06-03 07:27:00+00:00,Observed
1,2E2755,(Tue4) Lecture 2,2024-06-04 04:46:56+00:00,Observed
1,2E2787,(Tue4) Lecture 2,2024-06-04 04:47:19+00:00,Observed
1,2E2793,(Tue4) Lecture 2,2024-06-04 04:54:08+00:00,Observed
1,2E321B,(Tue4) Lecture 2,2024-06-04 05:00:06+00:00,Observed
1,2E1D32,(Tue4) Lecture 2,2024-06-04 05:00:21+00:00,Observed
1,2E2835,(Tue4) Lecture 2,2024-06-04 05:00:32+00:00,Observed
1,2E279C,(Tue4) Lecture 2,2024-06-04 05:01:27+00:00,Observed
1,2E2793,(Tue4) Lecture 2,2024-06-04 05:02:22+00:00,Observed
1,2E2835,(Tue4) Lecture 2,2024-06-04 05:07:56+00:00,Observed
1,2E2830,(Tue4) Lecture 2,2024-06-04 05:08:29+00:00,Observed
1,2E2787,(Tue4) Lecture 2,2024-06-04 05:12:14+00:00,Observed
1,2E2793,(Tue4) Lecture 2,2024-06-04 05:13:45+00:00,Observed
1,2E1D32,(Tue4) Lecture 2,2024-06-04 05:17:03+00:00,Observed
1,2E2793,(Tue4) Lecture 2,2024-06-04 05:20:00+00:00,Observed
1,2E279C,(Tue4) Lecture 2,2024-06-04 05:21:36+00:00,Observed
1,2E1D32,(Tue4) Lecture 2,2024-06-04 05:26:10+00:00,Observed
1,2E2830,(Tue4) Lecture 2,2024-06-04 05:27:14+00:00,Observed
1,2E3296,(Tue4) Lecture 2,2024-06-04 05:27:30+00:00,Observed
1,2E2793,(Tue4) Lecture 2,2024-06-04 05:28:33+00:00,Observed
1,2E1C90,(Tue4) Lecture 2,2024-06-04 05:28:45+00:00,Observed
1,2E2766,(Tue4) Lecture 2,2024-06-04 05:28:53+00:00,Observed
1,2E276C,(Tue4) Lecture 2,2024-06-04 05:28:58+00:00,Observed
1,2E2830,(Tue4) Lecture 2,2024-06-04 05:29:07+00:00,Observed
1,2E279C,(Tue4) Lecture 2,2024-06-04 05:29:18+00:00,Observed
1,2E2746,(Tue4) Lecture 2,2024-06-04 05:29:24+00:00,Observed
1,2E276C,(Tue4) Lecture 2,2024-06-04 05:33:32+00:00,Observed
1,2E2793,(Tue4) Lecture 2,2024-06-04 05:41:12+00:00,Observed
1,2E2830,(Tue4) Lecture 2,2024-06-04 05:44:48+00:00,Observed
1,2E2790,(Wed1) Lecture 3,2024-06-04 23:53:02+00:00,Observed
1,2E2790,(Wed1) Lecture 3,2024-06-05 00:00:45+00:00,Observed
1,2E2766,(Wed1) Lecture 3,2024-06-05 00:02:12+00:00,Observed
1,2E3225,(Wed1) Lecture 3,2024-06-05 00:03:35+00:00,Observed
1,2E2854,(Wed1) Lecture 3,2024-06-05 00:03:47+00:00,Observed
1,2E2786,(Wed1) Lecture 3,2024-06-05 00:04:18+00:00,Observed
1,2E276D,(Wed1) Lecture 3,2024-06-05 00:05:05+00:00,Observed
1,2E2742,(Wed1) Lecture 3,2024-06-05 00:05:22+00:00,Observed
1,2E2788,(Wed1) Lecture 3,2024-06-05 00:05:43+00:00,Observed
1,2E2790,(Wed1) Lecture 3,2024-06-05 00:06:58+00:00,Observed
1,2E2742,(Wed1) Lecture 3,2024-06-05 00:11:04+00:00,Observed
1,2E2766,(Wed1) Lecture 3,2024-06-05 00:11:34+00:00,Observed
1,2E2786,(Wed1) Lecture 3,2024-06-05 00:12:24+00:00,Observed
1,2E276D,(Wed1) Lecture 3,2024-06-05 00:13:23+00:00,Observed
1,2E272B,(Wed1) Lecture 3,2024-06-05 00:14:08+00:00,Observed
1,2E2835,(Wed1) Lecture 3,2024-06-05 00:17:01+00:00,Observed
1,2E4B9A,(Wed1) Lecture 3,2024-06-05 00:23:39+00:00,Observed
1,2E281F,(Wed1) Lecture 3,2024-06-05 00:23:47+00:00,Observed
1,2E2790,(Wed1) Lecture 3,2024-06-05 00:25:03+00:00,Observed
1,2E2830,(Wed1) Lecture 3,2024-06-05 00:25:41+00:00,Observed
1,2E2790,(Wed1) Lecture 3,2024-06-05 00:25:52+00:00,Observed
1,2E2742,(Wed1) Lecture 3,2024-06-05 00:25:57+00:00,Observed
1,2E272B,(Wed1) Lecture 3,2024-06-05 00:26:07+00:00,Observed
1,2E2742,(Wed1) Lecture 3,2024-06-05 00:27:17+00:00,Observed
1,2E2790,(Wed1) Lecture 3,2024-06-05 00:28:17+00:00,Observed
1,2E3225,(Wed1) Lecture 3,2024-06-05 00:29:33+00:00,Observed
1,2E2746,(Wed1) Lecture 3,2024-06-05 00:34:00+00:00,Observed
1,2E272B,(Wed1) Lecture 3,2024-06-05 00:34:09+00:00,Observed
1,2E2775,(Wed1) Lecture 3,2024-06-05 00:34:50+00:00,Observed
1,2E2724,(Wed1) Lecture 3,2024-06-05 00:35:21+00:00,Observed
1,2E2742,(Wed1) Lecture 3,2024-06-05 00:35:27+00:00,Observed
1,2E276D,(Wed1) Lecture 3,2024-06-05 00:36:00+00:00,Observed
1,2E2790,(Wed1) Lecture 3,2024-06-05 00:36:13+00:00,Observed
1,2E2755,(Wed1) Lecture 3,2024-06-05 00:38:11+00:00,Observed
1,2E2775,(Wed1) Lecture 3,2024-06-05 00:48:58+00:00,Observed
1,2E276C,(Fri2) Lecture 3,2024-06-07 01:41:20+00:00,Observed
1,2E2787,(Fri2) Lecture 3,2024-06-07 01:46:45+00:00,Observed
1,2E1C2A,(Fri2) Lecture 3,2024-06-07 01:55:16+00:00,Observed
1,2E321B,(Fri2) Lecture 3,2024-06-07 01:56:10+00:00,Observed
1,2E2724,(Fri2) Lecture 3,2024-06-07 02:02:47+00:00,Observed
1,2E276C,(Fri2) Lecture 3,2024-06-07 02:04:23+00:00,Observed
1,2E321B,(Fri2) Lecture 3,2024-06-07 02:07:18+00:00,Observed
1,2E2827,(Mon5) Lecture 1,2024-05-20 06:30:00+00:00,L (T asks Ss whether he/she understands sentence On pense)
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:36:00+00:00,C (corrects exercise)
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:37:00+00:00,"C, P (calls Ss to read the answers one by one)"
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:38:00+00:00,L (reminds last week lecture - film Amelie)
2,2E2775,(Mon5) Lecture 1,2024-05-20 06:40:00+00:00,.
1,2E2827,(Mon5) Lecture 1,2024-05-20 06:43:00+00:00,.
2,2E2775,(Mon5) Lecture 1,2024-05-20 06:45:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:48:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:50:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:52:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:54:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 06:56:00+00:00,.
1,2E1C2A,(Mon5) Lecture 1,2024-05-20 06:57:00+00:00,.
1,2E281F,(Mon5) Lecture 1,2024-05-20 07:00:00+00:00,.
1,2D65C5,(Mon5) Lecture 1,2024-05-20 07:02:00+00:00,.
1,2E1D32,(Mon5) Lecture 1,2024-05-20 07:03:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 07:08:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 07:08:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 07:10:00+00:00,.
1,2E1C2A,(Mon5) Lecture 1,2024-05-20 07:13:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 07:14:00+00:00,.
1,2E2793,(Mon5) Lecture 1,2024-05-20 07:15:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 07:15:00+00:00,.
1,2E2775,(Mon5) Lecture 1,2024-05-20 07:23:00+00:00,.
1,2E2827,(Mon5) Lecture 1,2024-05-20 07:24:00+00:00,.
1,2E2788,(Wed1) Lecture 1,2024-05-21 23:51:00+00:00,.
1,2E2786,(Wed1) Lecture 1,2024-05-21 23:54:00+00:00,.
1,2E2766,(Wed1) Lecture 1,2024-05-21 23:54:00+00:00,.
1,2E2766,(Wed1) Lecture 1,2024-05-21 23:56:00+00:00,.
1,2E2854,(Wed1) Lecture 1,2024-05-21 23:57:00+00:00,.
1,2E2854,(Wed1) Lecture 1,2024-05-21 23:58:00+00:00,.
1,2E2727,(Wed1) Lecture 1,2024-05-21 23:59:00+00:00,.
1,2E4B9A,(Wed1) Lecture 1,2024-05-22 00:00:00+00:00,.
1,2E272B,(Wed1) Lecture 1,2024-05-22 00:05:00+00:00,.
1,2E4B9A,(Wed1) Lecture 1,2024-05-22 00:08:00+00:00,.
1,2E2788,(Wed1) Lecture 1,2024-05-22 00:08:00+00:00,.
1,2E3225,(Wed1) Lecture 1,2024-05-22 00:11:00+00:00,.
1,2E272B,(Wed1) Lecture 1,2024-05-22 00:13:00+00:00,.
1,2E2755,(Wed1) Lecture 1,2024-05-22 00:14:00+00:00,.
1,2E4B9A,(Wed1) Lecture 1,2024-05-22 00:15:00+00:00,.
1,2E2786,(Wed1) Lecture 1,2024-05-22 00:18:00+00:00,.
1,2E2766,(Wed1) Lecture 1,2024-05-22 00:20:00+00:00,.
1,2E2766,(Wed1) Lecture 1,2024-05-22 00:22:00+00:00,.
1,2E2854,(Wed1) Lecture 1,2024-05-22 00:23:00+00:00,.
1,2E272B,(Wed1) Lecture 1,2024-05-22 00:25:00+00:00,.
1,2E4B9A,(Wed1) Lecture 1,2024-05-22 00:26:00+00:00,.
1,2E2854,(Wed1) Lecture 1,2024-05-22 00:29:00+00:00,.
1,2E272B,(Wed1) Lecture 1,2024-05-22 00:30:00+00:00,.
1,2E2854,(Wed1) Lecture 1,2024-05-22 00:31:00+00:00,.
1,2D6581,(Mon5) Lecture 4,2024-06-10 07:02:13+00:00,Observed
1,2E2766,(Mon5) Lecture 4,2024-06-10 07:02:53+00:00,Observed
1,2E2788,(Mon5) Lecture 4,2024-06-10 07:04:19+00:00,Observed
1,2E2827,(Mon5) Lecture 4,2024-06-10 07:15:23+00:00,Observed
1,2D65C5,(Mon5) Lecture 4,2024-06-10 07:23:14+00:00,Observed
1,2E2788,(Mon5) Lecture 4,2024-06-10 07:24:22+00:00,Observed
1,2D65C5,(Wed1) Lecture 1,2024-06-11 01:05:06+00:00,Observed
1,2E1D32,(Tue4) Lecture 3,2024-06-11 04:56:14+00:00,Observed
1,2E2793,(Tue4) Lecture 3,2024-06-11 04:57:46+00:00,Observed
1,2E279C,(Tue4) Lecture 3,2024-06-11 05:19:08+00:00,Observed
1,2E2793,(Tue4) Lecture 3,2024-06-11 05:19:16+00:00,Observed
1,2E3296,(Tue4) Lecture 3,2024-06-11 05:19:57+00:00,Observed
1,2E2793,(Tue4) Lecture 3,2024-06-11 05:24:33+00:00,Observed
1,2E2793,(Tue4) Lecture 3,2024-06-11 05:37:57+00:00,Observed
1,2E279C,(Tue4) Lecture 3,2024-06-11 05:41:52+00:00,Observed
1,2E272B,(Wed1) Lecture 4,2024-06-12 00:04:37+00:00,Observed
1,2E276D,(Wed1) Lecture 4,2024-06-12 00:04:46+00:00,Observed
1,2E1D32,(Wed1) Lecture 4,2024-06-12 00:11:22+00:00,Observed
1,2E2755,(Wed1) Lecture 4,2024-06-12 00:12:01+00:00,Observed
1,2E321B,(Wed1) Lecture 4,2024-06-12 00:12:22+00:00,Observed
1,2E2724,(Wed1) Lecture 4,2024-06-12 00:12:35+00:00,Observed
1,2E2790,(Wed1) Lecture 4,2024-06-12 00:14:49+00:00,Observed
1,2E2786,(Wed1) Lecture 4,2024-06-12 00:14:56+00:00,Observed
1,2E321B,(Wed1) Lecture 4,2024-06-12 00:20:25+00:00,Observed
1,2E2790,(Wed1) Lecture 4,2024-06-12 00:22:08+00:00,Observed
1,2E2835,(Wed1) Lecture 4,2024-06-12 00:23:05+00:00,Observed
1,2E2766,(Wed1) Lecture 4,2024-06-12 00:23:26+00:00,Observed
1,2E281F,(Wed1) Lecture 4,2024-06-12 00:25:07+00:00,Observed
1,2E4B9A,(Wed1) Lecture 4,2024-06-12 00:32:12+00:00,Observed
1,2E2746,(Wed1) Lecture 4,2024-06-12 00:37:59+00:00,Observed
1,2E2790,(Wed1) Lecture 4,2024-06-12 00:41:00+00:00,Observed
1,2E2747,(Wed1) Lecture 4,2024-06-12 00:44:16+00:00,Observed
1,2E272B,(Wed1) Lecture 4,2024-06-12 00:45:03+00:00,Observed
1,2E3225,(Wed1) Lecture 4,2024-06-12 00:45:09+00:00,Observed
1,2E1C90,(Wed1) Lecture 4,2024-06-12 00:45:20+00:00,Observed
1,2E2793,(Wed1) Lecture 4,2024-06-12 00:45:28+00:00,Observed
1,2E4B9A,(Wed1) Lecture 4,2024-06-12 00:47:39+00:00,Observed
